GET,28014737,17695,36329,true
GET,20193917,27400,38837,true
GET,26557919,14441,24924,true
GET,9144833,14261,24812,true
GET,23631773,12802,27910,true
GET,19246859,11884,22819,true
GET,4690606,7960,32853,true
GET,5791373,7428,25216,true
GET,15414094,7591,25402,true
GET,6264219,7812,33273,true
GET,10655452,14350,49725,true
GET,12633157,7952,23730,true
GET,34523316,7191,25598,true
GET,11206060,9148,34920,true
GET,10200006,6839,22796,true
GET,9019395,6406,24107,true
GET,3892572,11830,30354,true
GET,13744055,5197089,42840,true
GET,5909816,6001,21511,true
GET,8156743,8487,27719,true
GET,4281276,8457,23814,true
GET,10995610,6507,22889,true
GET,20340597,6639,25499,true
GET,13856622,10469,41301,true
GET,8862693,5772,22556,true
GET,16654060,5926,24340,true
GET,10715538,6716,25708,true
GET,9039324,6105,19165,true
GET,11101296,6394,23939,true
GET,11476558,6692,24392,true
GET,5689527,6240,21141,true
GET,14474656,6823,23183,true
GET,5088349,6522,23020,true
GET,8883997,7356,63429,true
GET,14246183,4970,19230,true
GET,11821818,7370,28810,true
GET,5422682,5316,21225,true
GET,14609128,16087,32194,true
GET,7531139,11447,26748,true
GET,9138438,5113,22340,true
GET,25008710,7963,23552,true
GET,11552815,7700,35901,true
GET,38609300,6785,21918,true
GET,7943376,6188,83800,true
GET,7287130,7001,22461,true
GET,13141555,6381479,77348,true
GET,13760152,6524,26318,true
GET,12551012,11026,43894,true
GET,2944617,5320,20712,true
GET,16897197,10764,38902,true
GET,13310685,6110,23062,true
GET,5466262,6902,27938,true
GET,4205360,12864,30206,true
GET,14111123,6393,22676,true
GET,9332403,13717,33830,true
GET,20345954,6303,23862,true
GET,27648720,21408,129028,true
GET,3975523,7194,21817,true
GET,11268105,7485,27220,true
GET,4726955,6454,20957,true
GET,15360812,8301,35177,true
GET,3704467,916925,102223,true
GET,7069314,4636,20948,true
SET,16090098,2077088,75788,true
GET,4261732,8713,35227,true
GET,14045962,5377,19965,true
GET,3123833,7492,24887,true
GET,27574259,8133,26474,true
GET,58514981,18307,47950,true
GET,15599414,6557,24762,true
GET,46049709,7756,31258,true
GET,66107981,16964,546584,true
GET,29707903,6642,21563,true
GET,40940849,8834,35538,true
GET,55882101,4806,19225,true
GET,17390676,10303,33807,true
GET,35961994,7553,22755,true
GET,33599152,6313,21794,true
GET,4824889,6310,22689,true
GET,10673982,6929,24108,true
GET,2121770,5523,19037,true
GET,10792763,15098,21351,true
GET,11383431,695033,731356,true
GET,12278157,6392,25507,true
GET,2862278,5311,21988,true
GET,24440807,9284,27545,true
GET,7631616,19887,65904,true
GET,10385086,7360,25827,true
GET,8501330,5958,19787,true
GET,100096962,12878,50038,true
GET,21099924,9443,37737,true
GET,9142897,7731,23714,true
GET,5571699,7085,24742,true
GET,4898108,6894,24272,true
GET,11640985,6485,20321,true
GET,5382063,6627,20269,true
GET,11297729,6608,25154,true
GET,4166647,8347,20969,true
GET,6414729,7544,22377,true
GET,21302705,5052,19424,true
GET,3746844,6361,19459,true
GET,2776676,6906,19410,true
GET,3709738,6348,21598,true
GET,12595491,6470,20788,true
GET,9123182,6194,20568,true
GET,3536712,10844,30641,true
GET,7947822,9450,27576,true
GET,7158252,7109,22769,true
GET,2854840,4977,19983,true
GET,14304954,5650,20645,true
GET,7378300,6510,21565,true
GET,3580769,6566,23855,true
GET,16503590,136438,964657,true
GET,7733456,5086,17485,true
GET,2547240,6255,22199,true
GET,3409816,7425,25180,true
GET,2366796,7428,20307,true
GET,2569760,7376,19653,true
GET,7215334,5450,20411,true
GET,7592249,5848,21034,true
GET,20391657,6572,40866,true
GET,7624034,7585,24589,true
GET,9571600,8430,24503,true
GET,12728784,5131,21371,true
GET,13127269,7086,20801,true
