1.012000000000000000e+04,9.446000000000000000e+03,9.222000000000000000e+03,9.703000000000000000e+03,9.471000000000000000e+03
1.734100000000000000e+04,1.722600000000000000e+04,1.722900000000000000e+04,1.790000000000000000e+04,1.755900000000000000e+04
2.031300000000000000e+04,2.019300000000000000e+04,1.984000000000000000e+04,2.006300000000000000e+04,1.956200000000000000e+04
2.198700000000000000e+04,2.156100000000000000e+04,2.135600000000000000e+04,2.123000000000000000e+04,2.099700000000000000e+04
2.315000000000000000e+04,2.315700000000000000e+04,2.346000000000000000e+04,2.328500000000000000e+04,2.338800000000000000e+04
2.549300000000000000e+04,2.504800000000000000e+04,2.541600000000000000e+04,2.466800000000000000e+04,2.514900000000000000e+04
2.647500000000000000e+04,2.629600000000000000e+04,2.702100000000000000e+04,2.627300000000000000e+04,2.630500000000000000e+04
2.786400000000000000e+04,2.733100000000000000e+04,2.790200000000000000e+04,2.796500000000000000e+04,2.731400000000000000e+04
2.815900000000000000e+04,2.841100000000000000e+04,2.879600000000000000e+04,2.884100000000000000e+04,2.868900000000000000e+04
2.968700000000000000e+04,3.002600000000000000e+04,3.011100000000000000e+04,2.967600000000000000e+04,3.014800000000000000e+04
3.024500000000000000e+04,3.104200000000000000e+04,3.007500000000000000e+04,3.051800000000000000e+04,3.044400000000000000e+04
3.102800000000000000e+04,3.072000000000000000e+04,3.096100000000000000e+04,3.140200000000000000e+04,3.092500000000000000e+04
3.175500000000000000e+04,3.108000000000000000e+04,3.185900000000000000e+04,3.218000000000000000e+04,3.216600000000000000e+04
3.224000000000000000e+04,3.151600000000000000e+04,3.302700000000000000e+04,3.293500000000000000e+04,3.317300000000000000e+04
3.314400000000000000e+04,3.339100000000000000e+04,3.345200000000000000e+04,3.233300000000000000e+04,3.400600000000000000e+04
3.398300000000000000e+04,3.742700000000000000e+04,3.654400000000000000e+04,3.700500000000000000e+04,3.933200000000000000e+04
