8.540999999999999091e+02,9.075557824673918503e+02
9.212000000000000455e+02,9.362835115284258336e+02
1.209000000000000000e+03,1.605570192526630080e+03
1.499700000000000045e+03,2.316216179824326900e+03
1.724000000000000000e+03,2.548657793806378777e+03
1.915099999999999909e+03,2.649206259810662687e+03
2.124099999999999909e+03,3.080861121610319969e+03
2.320699999999999818e+03,3.472224351595098142e+03
2.527399999999999636e+03,4.503208219052279674e+03
2.680800000000000182e+03,4.009892067591096747e+03
2.899099999999999909e+03,3.805162500509012261e+03
3.106500000000000000e+03,4.838855525404742366e+03
3.282500000000000000e+03,4.923724055384298481e+03
3.454000000000000000e+03,5.760732354954532639e+03
3.622199999999999818e+03,4.938246033239939607e+03
3.516000000000000000e+03,6.650181583963704725e+03
